Flight time,Altitude,Wind Direction,Wind Speed
54m 35s,28.3 m,243°,  7.66 m/s
54m 40s,28.3 m,244°,  9.11 m/s
54m 55s,28.3 m,231°,  10.10 m/s
55m 00s,28.3 m,238°,  9.68 m/s
55m 05s,28.2 m,234°,  10.88 m/s
55m 10s,28.2 m,236°,  9.35 m/s
55m 15s,28.2 m,231°,  9.72 m/s
55m 20s,28.2 m,239°,  9.80 m/s
55m 25s,28.1 m,240°,  10.19 m/s
55m 30s,28.1 m,235°,  7.63 m/s
55m 35s,28.1 m,236°,  5.65 m/s
55m 40s,28.2 m,231°,  9.37 m/s
55m 45s,28.1 m,235°,  10.13 m/s
56m 00s,28.3 m,255°,  6.60 m/s
56m 05s,28.3 m,252°,  7.63 m/s
56m 10s,28.2 m,234°,  7.55 m/s
56m 15s,28.2 m,239°,  7.26 m/s
56m 20s,28.2 m,241°,  8.05 m/s
56m 25s,28.2 m,243°,  8.01 m/s
56m 30s,28.1 m,243°,  8.40 m/s
56m 35s,28.1 m,245°,  8.87 m/s
56m 40s,28.1 m,240°,  8.19 m/s
56m 45s,28.1 m,244°,  8.67 m/s
56m 50s,28.0 m,237°,  9.10 m/s
57m 05s,27.7 m,230°,  9.47 m/s
57m 10s,27.7 m,235°,  9.08 m/s
57m 15s,27.8 m,235°,  9.50 m/s
57m 20s,27.9 m,233°,  9.53 m/s
57m 25s,28.0 m,232°,  8.90 m/s
57m 30s,28.0 m,237°,  7.82 m/s
57m 35s,28.1 m,239°,  9.12 m/s
57m 40s,28.3 m,231°,  10.42 m/s
57m 45s,28.4 m,232°,  7.41 m/s
57m 50s,28.4 m,232°,  7.78 m/s
57m 55s,28.5 m,234°,  7.72 m/s
58m 10s,28.9 m,243°,  6.20 m/s
58m 15s,28.7 m,240°,  6.64 m/s
58m 20s,28.6 m,243°,  7.14 m/s
58m 25s,28.5 m,245°,  6.07 m/s
58m 30s,28.4 m,234°,  6.39 m/s
58m 35s,28.3 m,242°,  7.72 m/s
58m 40s,28.2 m,240°,  8.25 m/s
58m 45s,28.1 m,234°,  8.35 m/s
58m 50s,28.0 m,229°,  8.37 m/s
58m 55s,27.8 m,236°,  8.60 m/s
59m 00s,27.7 m,230°,  8.64 m/s
59m 15s,28.2 m,235°,  10.30 m/s
59m 20s,28.4 m,242°,  9.75 m/s
59m 25s,28.4 m,236°,  9.22 m/s
59m 30s,28.6 m,239°,  8.92 m/s
59m 35s,28.6 m,232°,  8.77 m/s
59m 40s,28.7 m,228°,  7.87 m/s
59m 45s,28.8 m,234°,  6.28 m/s
59m 50s,28.9 m,235°,  7.65 m/s
59m 55s,28.9 m,232°,  6.75 m/s
60m 00s,29.0 m,232°,  9.23 m/s
60m 05s,29.2 m,239°,  10.23 m/s
60m 20s,28.7 m,236°,  8.57 m/s
60m 25s,28.6 m,242°,  8.64 m/s
60m 30s,28.6 m,243°,  8.66 m/s
60m 35s,28.6 m,240°,  8.80 m/s
60m 40s,28.5 m,244°,  7.53 m/s
60m 45s,28.5 m,235°,  7.57 m/s
60m 50s,28.5 m,238°,  7.79 m/s
60m 55s,28.4 m,243°,  7.40 m/s
61m 00s,28.4 m,244°,  6.69 m/s
61m 05s,28.4 m,236°,  7.45 m/s
61m 10s,28.3 m,229°,  7.21 m/s
61m 25s,28.3 m,233°,  7.20 m/s
61m 30s,28.3 m,234°,  8.22 m/s
61m 35s,28.3 m,238°,  9.49 m/s
61m 40s,28.3 m,231°,  8.49 m/s
61m 45s,28.2 m,231°,  8.06 m/s
61m 50s,28.2 m,236°,  9.38 m/s
61m 55s,28.3 m,226°,  8.17 m/s
62m 00s,28.3 m,237°,  9.91 m/s
62m 05s,28.2 m,233°,  10.41 m/s
62m 10s,28.2 m,240°,  9.94 m/s
62m 15s,28.2 m,235°,  9.44 m/s
62m 30s,27.8 m,239°,  8.71 m/s
62m 35s,27.8 m,236°,  8.53 m/s
62m 40s,27.8 m,240°,  9.18 m/s
62m 45s,27.8 m,238°,  8.96 m/s
62m 50s,27.8 m,244°,  9.43 m/s
62m 55s,27.8 m,237°,  9.51 m/s
63m 00s,27.9 m,236°,  8.37 m/s
63m 05s,27.9 m,243°,  6.03 m/s
63m 10s,27.8 m,232°,  6.68 m/s
63m 15s,27.9 m,240°,  7.44 m/s
63m 35s,27.4 m,234°,  9.36 m/s
63m 40s,27.4 m,235°,  9.68 m/s
63m 45s,27.4 m,234°,  8.98 m/s
63m 50s,27.4 m,237°,  8.28 m/s
