TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 132115 5 9 ,53.32865524,5.935173512,19.94,345.03,455,174°,,  3.54 m/s
UTC 221212 132120 5 9 ,53.3288765,5.935083866,20.49,345.01,450,177°,,  3.41 m/s
UTC 221212 132135 5 9 ,53.329422,5.934854507,19.74,344.89,450,176°,,  2.70 m/s
UTC 221212 132140 5 9 ,53.32963943,5.934763908,19.13,345.02,450,175°,,  3.15 m/s
UTC 221212 132145 5 9 ,53.32985687,5.934671879,18.49,344.9,450,166°,,  2.92 m/s
UTC 221212 132200 5 9 ,53.32951355,5.934934139,19.1,156.96,421,199°,,  2.41 m/s
UTC 221212 132215 5 9 ,53.32897186,5.935196877,20.76,165.67,423,187°,,  2.10 m/s
UTC 221212 132225 5 9 ,53.32865524,5.935330391,20.08,165.36,423,184°,,  2.91 m/s
UTC 221212 132230 5 9 ,53.32843399,5.935421467,19.54,165.68,402,184°,,  2.14 m/s
UTC 221212 132235 5 9 ,53.32821655,5.935512543,18.95,165.83,401,187°,,  2.97 m/s
UTC 221212 132245 5 9 ,53.32817459,5.935527802,18.82,166.12,423,169°,,  3.01 m/s
UTC 221212 132255 5 9 ,53.32817459,5.93552208,37.91,245.86,435,164°,,  4.32 m/s
UTC 221212 132315 5 9 ,53.32792664,5.934435844,49.78,248.44,403,178°,,  4.77 m/s
