TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 130330 5 9 ,53.32883072,5.931679249,28.26,167.2,407,191°,,  3.11 m/s
UTC 221212 130335 5 9 ,53.32861328,5.931760311,28.28,167.21,405,188°,,  3.21 m/s
UTC 221212 130339 5 9 ,53.32843781,5.931826115,28.29,167.35,414,186°,,  3.57 m/s
UTC 221212 130345 5 9 ,53.32817459,5.931924343,28.34,167.19,409,185°,,  3.50 m/s
UTC 221212 130350 5 9 ,53.32795334,5.932006359,28.36,167.33,413,195°,,  3.51 m/s
UTC 221212 130355 5 9 ,53.32774735,5.932044506,28.41,207.56,417,189°,,  3.09 m/s
UTC 221212 130400 5 9 ,53.32780838,5.931742191,28.77,346.69,428,189°,,  3.94 m/s
UTC 221212 130405 5 9 ,53.32798386,5.931685448,28.73,346.47,445,190°,,  3.88 m/
UTC 221212 130410 5 9 ,53.32820511,5.931603909,28.66,346.43,454,191°,,  3.71 m/s
UTC 221212 130415 5 9 ,53.32842255,5.931522369,28.61,346.35,457,192°,,  3.51 m/s
UTC 221212 130420 5 9 ,53.3286438,5.93144083,28.53,346.34,470,190°,,  3.12 m/s
UTC 221212 130435 5 9 ,53.32929993,5.93119669,28.32,346.47,482,192°,,  2.54 m/s
UTC 221212 130440 5 9 ,53.32951736,5.931114197,28.23,346.45,480,188°,,  2.35 m/s
UTC 221212 130445 5 9 ,53.32973862,5.931032181,28.18,346.47,457,184°,,  2.61 m/s
UTC 221212 130450 5 9 ,53.32995605,5.930951119,28.12,346.44,457,184°,,  2.69 m/s
UTC 221212 130455 5 9 ,53.33017349,5.930869579,28.02,346.42,452,187°,,  2.91 m/s
UTC 221212 130500 5 9 ,53.33034897,5.930717468,28,278.33,445,184°,,  3.10 m/s
UTC 221212 130505 5 9 ,53.33022308,5.930534363,28,167.97,426,183°,,  2.91 m/s
UTC 221212 130510 5 9 ,53.33000183,5.930626392,28.11,167.24,420,183°,,  2.68 m/s
UTC 221212 130515 5 9 ,53.32978439,5.930706024,28.16,167.29,420,182°,,  2.92 m/s
UTC 221212 130520 5 9 ,53.32956696,5.930788994,28.33,167.22,417,188°,,  2.48 m/s
UTC 221212 130540 5 9 ,53.32868958,5.931115151,28.68,167.47,406,196°,,  2.82 m/s
UTC 221212 130545 5 9 ,53.32847214,5.931197166,28.74,167.01,400,195°,,  2.86 m/s
UTC 221212 130550 5 9 ,53.3282547,5.931279182,28.84,167.21,403,190°,,  3.26 m/s
UTC 221212 130555 5 9 ,53.32803345,5.931360722,28.96,167.43,405,185°,,  3.34 m/s
UTC 221212 130600 5 9 ,53.32781601,5.93144083,29.03,167.47,403,190°,,  3.75 m/s
UTC 221212 130605 5 9 ,53.32764053,5.931364536,29.31,254.09,405,194°,,  3.89 m/s
