TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221222 112641 5 9 ,640,53.32940674,5.932123184,26.77,0,0,0,77.32,77.32,0,566,25,26,314,54,123,9.57,100125,117.01
UTC 221222 112642 5 9 ,641,53.32941818,5.932196617,26.78,0,0,0,77.31,77.31,0.01,569,25,26,315,54,123,9.6,100124,117.01
UTC 221222 112643 5 9 ,642,53.32942581,5.93227005,26.79,0,0,0,77.54,77.54,0.01,569,25,26,315,54,123,9.64,100124,117.01
UTC 221222 112644 5 9 ,643,53.32943726,5.932343483,26.8,0,0,0,77.49,77.49,0.01,581,27,26,314,55,123,9.68,100126,117.01
UTC 221222 112644 5 9 ,644,53.32944489,5.932416439,26.82,0,0,0,77.51,77.51,0.01,569,25,26,314,54,123,9.7,100124,117.01
UTC 221222 112644 5 9 ,645,53.32945633,5.932491303,26.84,0,0,0,77.58,77.58,0.01,569,25,27,314,54,124,9.73,100125,117.01
UTC 221222 112644 5 9 ,646,53.32946777,5.932564735,26.86,0,0,0,77.6,77.6,0.01,589,28,27,314,54,124,9.77,100128,117.01
UTC 221222 112648 5 9 ,647,53.3294754,5.932638168,26.89,0,0,0,77.27,77.27,0.01,575,26,27,315,55,123,9.81,100127,117.01
UTC 221222 112648 5 9 ,648,53.32948685,5.932711601,26.9,0,0,0,77.52,77.52,0.01,569,25,26,314,55,123,9.85,100127,117.01
UTC 221222 112648 5 9 ,649,53.32949448,5.93278265,26.9,0,0,0,77.41,77.41,0.01,581,27,27,314,54,124,9.86,100123,117.01
UTC 221222 112648 5 9 ,650,53.32950592,5.932855606,26.9,0,0,0,77.55,77.55,0.01,575,26,26,314,55,124,9.87,100126,117.01
UTC 221222 112652 5 9 ,651,53.32951355,5.9329319,26.92,0,0,0,77.34,77.34,0.01,589,28,26,314,54,123,9.92,100117,117.01
UTC 221222 112653 5 9 ,652,53.32952499,5.933003426,26.94,0,0,0,77.38,77.38,0.01,581,27,27,314,55,124,9.96,100124,117.01
UTC 221222 112654 5 9 ,653,53.32953262,5.933077812,26.96,0,0,0,77.2,77.2,0.01,581,27,27,314,54,124,9.98,100122,117.01
